Funktion;GDB;Bezeichner_1;Bezeichner_2;Bezeichner_3;energetisch Relevant;WVBRpEBF;Strom;Bez;Typ;Lastprofil;Vlh;Raumheizung zu Prozesswärme;Quelle;Heizgrenztemp
1000;;Wohngebäude;;;1;142,87;32;Wohngebäude;Wohnen;EFH;1600;95%;3;
1010;x;;Wohnhaus;;1;142,87;32;Wohnhaus;Wohnen;EFH;1600;95%;3;
1020;;;Wohnheim;;1;153;29;Wohnheim;Wohnen;GKO;2000;67%;2;
1021;;;;Kinderheim;1;153;29;Kinderheim;Wohnen;GKO;1800;67%;2;
1022;;;;Seniorenheim;1;153;29;Seniorenheim;Wohnen;GKO;1800;67%;2;
1023;;;;Schwesternwohnheim;1;153;29;Schwesternwohnheim;Wohnen;GKO;1800;67%;2;
1024;;;;Studenten-, Schülerwohnheim;1;153;29;Studenten-, Schülerwohnheim;Wohnen;GKO;1800;67%;2;
1025;;;;Schullandheim;1;153;29;Schullandheim;Wohnen;GKO;1800;67%;2;
1100;x;Gemischt genutztes Gebäude mit Wohnen;;;1;142,87;32;Gemischt genutztes Gebäude mit Wohnen;Wohn-Mischnutzung;GMK;1600;95%;3;
1110;;;Wohngebäude mit Gemeinbedarf;;1;153;29;Wohngebäude mit Gemeinbedarf;Wohn-Mischnutzung;GMK;1800;67%;2;
1120;;;Wohngebäude mit Handel und Dienstleistungen;;1;82;57;Wohngebäude mit Handel und Dienstleistungen;Wohn-Mischnutzung;GMK;1600;95%;2;
1121;;;Wohn- und Verwaltungsgebäude;;1;142,87;32;Wohn- und Verwaltungsgebäude;Wohn-Mischnutzung;GMK;1600;95%;3;
1122;;;Wohn- und Bürogebäude;;1;147;52;Wohn- und Bürogebäude;Wohn-Mischnutzung;GMK;1700;95%;2;
1123;;;Wohn- und Geschäftsgebäude;;1;82;57;Wohn- und Geschäftsgebäude;Wohn-Mischnutzung;GMK;1600;95%;2;
1130;;;Wohngebäude mit Gewerbe und Industrie;;1;142,87;32;Wohngebäude mit Gewerbe und Industrie;Wohn-Mischnutzung;GMK;1600;95%;3;
1131;;;Wohn- und Betriebsgebäude;;1;142,87;32;Wohn- und Betriebsgebäude;Wohn-Mischnutzung;GMK;1600;95%;3;
1210;;;Land- und forstwirtschaftliches Wohngebäude;;1;142,87;32;Land- und forstwirtschaftliches Wohngebäude;Wohn-Mischnutzung;GMK;1600;95%;3;
1220;x;;Land- und forstwirtschaftliches Wohn- und Betriebsgebäude;;1;142,87;32;Land- und forstwirtschaftliches Wohn- und Betriebsgebäude;Wohn-Mischnutzung;GMK;1600;95%;3;
1221;;;Bauernhaus;;1;142,87;32;Bauernhaus;Land- und Forstwirtschaft;GMK;1600;95%;3;
1222;;;Wohn- und Wirtschaftsgebäude;;1;142,87;32;Wohn- und Wirtschaftsgebäude;Wohn-Mischnutzung;GMK;1600;95%;3;
1223;x;;;Forsthaus;1;142,87;32;Forsthaus;Wohn-Mischnutzung;GMK;1600;95%;3;
1310;x;;Gebäude zur Freizeitgestaltung;;1;105;20;Gebäude zur Freizeitgestaltung;Sonstige / Freizeit;GKO;1800;95%;1;
1311;;;;Ferienhaus;0;0;0;Ferienhaus;Sonstige / Freizeit;;0;;;
1312;;;;Wochenendhaus;0;0;0;Wochenendhaus;Sonstige / Freizeit;;0;;;
1313;;;;Gartenhaus;0;0;0;Gartenhaus;Sonstige / Freizeit;;0;;;
2000;;Gebäude für Wirtschaft oder Gewerbe;;;1;110;20;Gebäude für Wirtschaft oder Gewerbe;Gewerbe, Handel, Dienstleistung;GMK;1800;95%;1;
2010;x;;Geb. für Handel und Dienstleistungen;;1;82;57;Gebäude für Handel und Dienstleistungen;Gewerbe, Handel, Dienstleistung;GMK;1800;95%;2;
2020;;;Bürogebäude;;1;105;35;Bürogebäude;Gewerbe, Handel, Dienstleistung;GMK;1700;95%;1;
2030;;;Kreditinstitut;;1;147;52;Kreditinstitut;Gewerbe, Handel, Dienstleistung;GKO;1800;95%;2;
